case_id,label,gauss_a,gauss_b,distance_m,dist_bin_lo,match_group,variant
DouBanLv1_c2_c11,0,1457,603,0.09829172604268532,0.09,17187,1v1
DouBanLv1_c2_c11,1,24765,35651,0.09682008093335195,0.09,17187,1v1
DouBanLv1_c2_c11,0,1457,24174,0.09236365708096045,0.09,17188,1v1
DouBanLv1_c2_c11,1,24765,35651,0.09682008093335195,0.09,17188,1v1
DouBanLv1_c2_c11,0,1965,2833,0.07307710077800138,0.07,23804,1v1
DouBanLv1_c2_c11,1,12104,25840,0.07687300202347333,0.07,23804,1v1
DouBanLv1_c2_c11,0,2371,2833,0.06947337838759181,0.06,28193,1v1
DouBanLv1_c2_c11,1,42192,51676,0.06292612228312879,0.06,28193,1v1
DouBanLv1_c2_c11,0,2971,2833,0.07356896078299752,0.07,34848,1v1
DouBanLv1_c2_c11,1,12104,25840,0.07687300202347333,0.07,34848,1v1
DouBanLv1_c2_c11,0,3324,781,0.09242936603578251,0.09,37717,1v1
DouBanLv1_c2_c11,1,24765,35651,0.09682008093335195,0.09,37717,1v1
DouBanLv1_c2_c11,0,3324,49917,0.1039466856273019,0.1,37718,1v1
DouBanLv1_c2_c11,1,3349,48206,0.10087356607800722,0.1,37718,1v1
DouBanLv1_c2_c11,0,3414,251,0.11137053680262092,0.11,38124,1v1
DouBanLv1_c2_c11,1,1094,44144,0.11364954913212526,0.11,38124,1v1
DouBanLv1_c2_c11,0,3414,342,0.11500609425330571,0.11,38125,1v1
DouBanLv1_c2_c11,1,1094,44144,0.11364954913212526,0.11,38125,1v1
DouBanLv1_c2_c11,0,3414,781,0.0707443854384257,0.07,38126,1v1
DouBanLv1_c2_c11,1,12104,25840,0.07687300202347333,0.07,38126,1v1
DouBanLv1_c2_c11,0,3414,8921,0.08640296157794343,0.08,38127,1v1
DouBanLv1_c2_c11,1,15416,18920,0.08069162604643523,0.08,38127,1v1
DouBanLv1_c2_c11,0,3414,13222,0.09335215231667236,0.09,38128,1v1
DouBanLv1_c2_c11,1,24765,35651,0.09682008093335195,0.09,38128,1v1
DouBanLv1_c2_c11,0,3414,24202,0.10794877025757449,0.1,38129,1v1
DouBanLv1_c2_c11,1,3349,48206,0.10087356607800722,0.1,38129,1v1
DouBanLv1_c2_c11,0,3414,49917,0.07345297748413562,0.07,38130,1v1
DouBanLv1_c2_c11,1,12104,25840,0.07687300202347333,0.07,38130,1v1
DouBanLv1_c2_c11,0,3415,781,0.09811513933311103,0.09,38153,1v1
DouBanLv1_c2_c11,1,24765,35651,0.09682008093335195,0.09,38153,1v1
DouBanLv1_c2_c11,0,3415,8921,0.10184816178725266,0.1,38154,1v1
DouBanLv1_c2_c11,1,3349,48206,0.10087356607800722,0.1,38154,1v1
DouBanLv1_c2_c11,0,3415,13222,0.11646785088988351,0.11,38155,1v1
DouBanLv1_c2_c11,1,1094,44144,0.11364954913212526,0.11,38155,1v1
DouBanLv1_c2_c11,0,3415,49917,0.08237381999851562,0.08,38156,1v1
DouBanLv1_c2_c11,1,15416,18920,0.08069162604643523,0.08,38156,1v1
DouBanLv1_c2_c11,0,4009,781,0.11680772189994373,0.11,41651,1v1
DouBanLv1_c2_c11,1,1094,44144,0.11364954913212526,0.11,41651,1v1
DouBanLv1_c2_c11,0,4009,8921,0.11306613705500934,0.11,41652,1v1
DouBanLv1_c2_c11,1,1094,44144,0.11364954913212526,0.11,41652,1v1
DouBanLv1_c2_c11,0,4009,49917,0.09096394194675386,0.09,41653,1v1
DouBanLv1_c2_c11,1,24765,35651,0.09682008093335195,0.09,41653,1v1
DouBanLv1_c2_c11,0,4017,781,0.07566657481273475,0.07,41763,1v1
DouBanLv1_c2_c11,1,12104,25840,0.07687300202347333,0.07,41763,1v1
DouBanLv1_c2_c11,0,4017,49917,0.10558034196094974,0.1,41764,1v1
DouBanLv1_c2_c11,1,3349,48206,0.10087356607800722,0.1,41764,1v1
DouBanLv1_c2_c11,0,4169,781,0.1044317070297534,0.1,43080,1v1
DouBanLv1_c2_c11,1,3349,48206,0.10087356607800722,0.1,43080,1v1
DouBanLv1_c2_c11,0,4169,49917,0.10234938485554135,0.1,43081,1v1
DouBanLv1_c2_c11,1,3349,48206,0.10087356607800722,0.1,43081,1v1
DouBanLv1_c2_c11,0,8248,2833,0.0720824741541609,0.07,65629,1v1
DouBanLv1_c2_c11,1,12104,25840,0.07687300202347333,0.07,65629,1v1
DouBanLv1_c2_c11,0,10838,2413,0.07361586649665133,0.07,89328,1v1
DouBanLv1_c2_c11,1,12104,25840,0.07687300202347333,0.07,89328,1v1
DouBanLv1_c2_c11,0,10838,2833,0.04150656257460463,0.04,89329,1v1
DouBanLv1_c2_c11,1,7352,20262,0.043026628137875146,0.04,89329,1v1
DouBanLv1_c2_c11,0,10838,23996,0.061083628055052734,0.06,89330,1v1
DouBanLv1_c2_c11,1,42192,51676,0.06292612228312879,0.06,89330,1v1
DouBanLv1_c2_c11,0,10838,24506,0.0754729176723514,0.07,89331,1v1
